"zip","block_geoid"
78002,480291619011003
78002,480291619011009
78002,480291619011010
78002,480291619011011
78002,480291619011012
78002,480291619011013
78002,480291619011015
78002,480291619011016
78002,480291619011017
78002,480291619011019
78002,480291619011020
78002,480291619011021
78002,480291619011022
78002,480291619011023
78002,480291619011024
78002,480291619011025
78002,480291619011026
78002,480291619011027
78002,480291619011028
78002,480291619011029
78002,480291619011031
78002,480291619011032
78002,480291619011033
78002,480291619011034
78002,480291619011035
78002,480291619011036
78002,480291619011037
78002,480291619011038
78002,480291619011039
78002,480291619011040
78002,480291619011041
78002,480291619011045
78002,480291619011046
78002,480291619011047
78002,480291619011049
78002,480291619021025
78002,480291619022001
78002,480291619022002
78002,480291619022003
78002,480291619022005
78002,480291619022006
78002,480291619022009
78002,480291619022010
78002,480291619022011
78002,480291619022012
78002,480291619022014
78002,480291619022015
78002,480291619022016
78002,480291619022017
78002,480291619022018
78002,480291619022019
78002,480291619022020
78002,480291619022021
78002,480291619022022
78002,480291619022023
78002,480291619022025
78002,480291619022026
78002,480291619024000
78002,480291619024001
78002,480291619024002
78002,480291619024003
78002,480291619024004
78002,480291619024005
78002,480291619024006
78002,480291619024007
78002,480291619024008
78002,480291619024009
78002,480291619024010
78002,480291619024011
78002,480291619024012
78002,480291619024013
78002,480291619024014
78002,480291619024015
78002,480291619024016
78002,480291619024017
78002,480291619024018
78002,480291619024019
78002,480291619024020
78002,480291619024022
78002,480291619024023
78002,480291619024026
78002,480291619024027
78002,480291620041001
78002,480291620041002
78002,480291620041004
78002,480291620041005
78002,480291620041006
78002,480291620041013
78002,480291620041014
78002,480291620041015
78002,480291620041017
78002,480291620041018
78002,480291620041019
78002,480291620041020
78002,480291620041021
78002,480291620041027
78002,480291620041028
78002,480291620041030
78002,480291620041031
78002,480291620041034
78002,480291620041035
78002,480291620042008
78002,480291620042016
78002,480291620042017
78002,480291620042018
78002,480291620042019
78002,480291620042024
78002,480291620042025
78002,480291620042026
78002,480291620042027
78002,480291620042028
78002,480291620042029
78002,480291620042030
78002,480291620042031
78002,480291620042032
78002,480291620042033
78002,480291620042036
78002,480291620042038
78015,480291821011000
78015,480291821011001
78015,480291821011002
78015,480291821011003
78015,480291821011004
78015,480291821011005
78015,480291821011006
78015,480291821011007
78015,480291821011008
78015,480291821011009
78015,480291821011011
78015,480291821011012
78015,480291821011013
78015,480291821011014
78015,480291821011015
78015,480291821011016
78015,480291821011017
78015,480291821011018
78015,480291821011019
78015,480291821011020
78015,480291821011021
78015,480291821011022
78015,480291821011023
78015,480291821011024
78015,480291821011025
78015,480291821011026
78015,480291821011027
78015,480291821011028
78015,480291821011029
78015,480291821011030
78015,480291821011031
78015,480291821011033
78015,480291821011035
78015,480291821011036
78015,480291821011037
78015,480291821011038
78015,480291821011039
78015,480291821011040
78015,480291821011041
78015,480291821011042
78015,480291821011043
78015,480291821011044
78015,480291821011045
78015,480291821011046
78015,480291821011047
78015,480291821011048
78015,480291821011049
78015,480291821011050
78015,480291821011051
78015,480291821011052
78015,480291821011053
78015,480291821011054
78015,480291821011055
78015,480291821011056
78015,480291821011057
78015,480291821011058
78015,480291821011060
78015,480291821011061
78015,480291821011062
78015,480291821011063
78015,480291821011064
78015,480291821011065
78015,480291821011066
78015,480291821012000
78015,480291821012001
78015,480291821012002
78015,480291821012003
78015,480291821012004
78015,480291821012005
78015,480291821012006
78015,480291821012007
78015,480291821012008
78015,480291821012009
78015,480291821012011
78015,480291821012013
78015,480291821012015
78015,480291821012017
78015,480291821012018
78015,480291821012020
78015,480291821012021
78015,480291821012022
78015,480291821012024
78015,480291821012025
78015,480291821012026
78015,480291821012027
78015,480291821012028
78015,480291821012029
78015,480291821012030
78015,480291821013000
78015,480291821013001
78015,480291821013002
78015,480291821013003
78015,480291821013004
78015,480291821013005
78015,480291821013006
78015,480291821013008
78015,480291821013009
78015,480291821013010
78015,480291821013011
78015,480291821013012
78015,480291821013013
78015,480291821013014
78015,480291821013015
78015,480291821013016
78015,480291821013017
78015,480291821013018
78015,480291821013019
78015,480291821013020
78015,480291821013021
78015,480291821013022
78015,480291821013023
78015,480291918071014
78023,480291817241000
78023,480291817241001
78023,480291817241002
78023,480291817241003
78023,480291817241004
78023,480291817241005
78023,480291817241006
78023,480291817241007
78023,480291817241008
78023,480291817241009
78023,480291817241010
78023,480291817241011
78023,480291817241012
78023,480291817241013
78023,480291817241014
78023,480291817241015
78023,480291817241016
78023,480291817241017
78023,480291817241018
78023,480291817241019
78023,480291817241020
78023,480291817241021
78023,480291817242000
78023,480291817242001
78023,480291817242002
78023,480291817242003
78023,480291817242004
78023,480291817242005
78023,480291817242006
78023,480291817242007
78023,480291817242008
78023,480291817242009
78023,480291817242010
78023,480291817242011
78023,480291817242012
78023,480291817242013
78023,480291817242014
78023,480291820011001
78023,480291820011002
78023,480291820011003
78023,480291820011004
78023,480291820011005
78023,480291820011006
78023,480291820011007
78023,480291820011008
78023,480291820011009
78023,480291820011010
78023,480291820011011
78023,480291820011015
78023,480291820012000
78023,480291820012001
78023,480291820012002
78023,480291820012003
78023,480291820012004
78023,480291820012005
78023,480291820012006
78023,480291820012007
78023,480291820012008
78023,480291820012009
78023,480291820012010
78023,480291820012011
78023,480291820012012
78023,480291820012013
78023,480291820012015
78023,480291820012016
78023,480291820021002
78023,480291820021003
78023,480291820021004
78023,480291820021005
78023,480291820021006
78023,480291820021007
78023,480291820021008
78023,480291820021009
78023,480291820021010
78023,480291820021012
78023,480291820021013
78023,480291820021014
78023,480291820021015
78023,480291820021016
78023,480291820021017
78023,480291820021028
78023,480291820021030
78023,480291820021031
78023,480291820021035
78023,480291820021037
78023,480291820021038
78023,480291820021040
78023,480291820021046
78023,480291820022000
78023,480291820022001
78023,480291820022002
78023,480291820022003
78023,480291820022004
78023,480291820022006
78023,480291820022007
78023,480291820022008
78023,480291820022009
78023,480291820022010
78023,480291820022011
78023,480291820022012
78023,480291820022013
78023,480291820022014
78023,480291820022015
78023,480291820022018
78023,480291820023001
78023,480291820023002
78023,480291820023003
78023,480291820023004
78023,480291820023005
78023,480291820023006
78023,480291820023007
78023,480291820023008
78023,480291820023009
78023,480291820023010
78023,480291820023011
78023,480291820023012
78023,480291820023013
78023,480291820023015
78023,480291820023016
78023,480291820023017
78023,480291820023018
78023,480291820023020
78023,480291820023021
78023,480291820023022
78023,480291820023023
78023,480291820023024
78023,480291820023025
78023,480291820023026
78023,480291820023027
78023,480291820023028
78023,480291820023029
78023,480291820023030
78023,480291820023031
78023,480291820023032
78023,480291820023033
78023,480291820024000
78023,480291820024001
78023,480291820024002
78023,480291820024003
78023,480291820024004
78023,480291820024005
78023,480291820024006
78023,480291820024007
78023,480291820024008
78023,480291820024009
78023,480291820024011
78023,480291820024012
78023,480291820025000
78023,480291820025001
78023,480291820025002
78023,480291820025003
78023,480291820025004
78023,480291820025005
78023,480291820025006
78023,480291820025007
78023,480291820025008
78023,480291820025009
78023,480291820025010
78023,480291820025011
78023,480291820025012
78023,480291820025013
78023,480291821031024
78023,480291821031060
78023,480291821031061
78023,480291821031063
78023,480291821031064
78023,480291821031065
78023,480291821031066
78023,480291821031067
78023,480291821031073
78023,480291821031076
78023,480291821031077
78023,480291821031078
78023,480291821031079
78023,480291821031081
78023,480291821031083
78023,480291821031084
78023,480291821031085
78023,480291821031086
78023,480291821031087
78023,480291821031088
78023,480291821031089
78023,480291821031091
78023,480291821031093
78023,480291821031094
78023,480291821031096
78023,480291821031098
78023,480291821031099
78023,480291821031100
78023,480291821031101
78023,480291821031102
78023,480291821031105
78023,480291821031106
78023,480291821051000
78023,480291821051001
78023,480291821051002
78023,480291821051003
78023,480291821051004
78023,480291821051013
78023,480291821061000
78023,480291821061002
78023,480291821061004
78023,480291821061006
78023,480291821061011
78023,480291821061012
78023,480291821061013
78023,480291821061014
78023,480291821061015
78023,480291821061016
78023,480291821061017
78023,480291821061019
78023,480291821061024
78023,480291821061025
78023,480291821061026
78023,480291821061027
78023,480291821061028
78023,480291821061029
78023,480291821061030
78023,480291821061034
78023,480291821061035
78023,480291821061037
78023,480291821061038
78023,480291821061040
78023,480291821061041
78023,480291821061043
78023,480291821061044
78023,480291821061045
78023,480291821061046
78023,480291821061047
78023,480291821061051
78023,480291821061052
78023,480291821061054
78023,480291821061056
78023,480291821062000
78023,480291821062001
78023,480291821062002
78023,480291821062003
78023,480291821062004
78023,480291821062005
78023,480291821062006
78023,480291821062007
78023,480291821062008
78023,480291821062009
78023,480291821062010
78023,480291821062011
78023,480291821062012
78023,480291821062013
78023,480291821062014
78023,480291821062015
78023,480291821062016
